9330,8211
1179,804
5961,1958
6287,7174
3500,366
5850,10768
4369,8183
5858,13262
6983,12282
5188,7634
3642,6954
789,127
5409,8641
3795,434
3717,3167
6207,2535
7470,6971
6034,7489
7054,1482
5094,82
5210,7138
3445,618
8204,12846
750,3282
5966,5208
3193,1615
1920,0
7441,5242
5785,5403
1729,5344
6936,11379
1153,117
4607,8026
5036,5912
1248,652
5990,6301
3819,113
916,408
5754,5682
7415,5693
3304,1058
2659,547
4333,8148
4460,657
4284,8602
6568,8825
656,71
6210,6081
4935,6624
1373,0
7598,4998
6843,5574
4141,7748
2455,328
4895,6845
5330,3110
6359,12952
6865,5730
5920,1573
4231,1781
6116,10591
4607,4879
3559,1687
5925,5824
6937,6966
4999,3060
902,1102
4414,1005
6111,4766
5835,6575
7425,5841
8857,13035
6039,5506
6675,4713
6745,4457
5846,8220
7082,10179
677,0
5896,4150
6744,12701
7578,11738
719,1810
6801,10549
6192,5109
3714,472
7032,7685
7748,11022
6780,6527
3200,6351
5731,3697
7248,1546
8722,8863
6704,5488
7913,10022
642,1168
6064,7511
7570,6985
5477,4776
1135,4414
6122,11081
7513,11180
5203,4370
8062,11404
1011,2064
9499,13038
835,556
4858,6195
5769,9741
716,495
6873,8840
4485,7151
5621,7857
7893,8890
5367,6634
6110,5094
7603,14525
7013,5240
7786,11407
1958,0
7203,5137
5875,4142
3774,9069
6117,5207
3760,9072
640,296
6901,10700
5864,4449
8325,15203
7181,1479
7026,8964
726,403
6110,3545
6641,4538
6032,4159
6132,10924
6317,10109
3909,382
4733,6599
3617,5723
4834,4975
7091,4056
3675,3461
4176,6062
7634,5702
701,1726
6475,2901
5336,7998
6470,4081
5623,9320
6474,10193
685,1919
4149,6324
5513,7795
6570,8809
7750,12933
1368,0
6304,9439
2974,11220
6454,4643
8295,12031
4263,5398
6394,7920
6593,3641
5220,10303
2196,6720
8198,11447
5011,6014
7716,11460
6548,6259
3809,430
5633,10356
1676,735
1328,308
7861,8073
6197,5673
6313,9759
6555,10985
6632,9773
1977,6969
7323,4734
873,5702
5729,7660
5458,3506
5954,7581
7521,10235
4585,223
3567,0
6101,6214
7019,10021
6223,6873
7753,9873
7171,7438
5329,7736
4920,8817
7350,13246
10675,8852
955,512
5577,6295
6697,6400
852,311
5773,5403
7976,6734
2306,430
3899,159
6187,7285
7501,8762
5358,3584
8243,11990
7529,11784
6510,12018
7017,5291
7729,9460
5763,3104
4343,2294
7623,7685
9379,3609
6565,1855
6296,5492
7226,8111
2362,292
8727,13043
947,5452
7024,5084
6188,9745
4958,5197
1178,3552
5768,4887
4659,5138
6012,4403
4707,8291
5176,6056
16383,16383
6685,4633
4741,5689
7795,6996
6443,4607
6402,3277
8942,7125
6646,9754
6091,6866
4330,5489
5820,3591
6109,7957
6669,8548
7179,4101
4869,718
7194,5237
7281,12178
2028,0
6990,8589
4203,4205
5518,4114
5668,4552
9318,3671
5742,6785
7217,15544
10142,9376
5857,7502
1240,169
6115,4712
1245,445
6950,4618
2998,2505
7169,5084
8909,12333
4680,5388
4599,7952
7497,8170
6065,9442
7475,6328
6344,8257
5573,8608
5536,5645
6341,7012
6749,5384
7960,2769
4475,6485
3387,8286
5451,4612
4654,7720
4164,1914
8062,1939
6936,6084
7572,5546
7751,5652
4653,7322
6870,4541
1241,110
3902,6647
6238,0
6130,7572
6566,6218
3669,10225
6365,10163
2693,0
6166,9655
6253,1824
7407,7614
677,1324
5558,7021
6866,11242
5674,6846
6410,9181
3900,7278
4951,8385
4829,6477
5630,3406
7292,11395
5665,8957
5931,7783
7258,11359
6387,9211
8929,6624
7901,3836
6193,8661
6735,10423
5736,1790
4445,2319
12624,3823
6131,7422
6528,5353
9487,0
7557,9842
740,1440
6720,6132
6088,6716
6663,9154
4806,4784
3891,712
5133,2414
7018,11895
2834,342
7097,4929
7415,7149
6473,7133
5887,8130
982,468
4090,1531
7486,7253
5382,8568
5140,0
8881,14409
977,2517
6415,5982
859,255
7735,8108
4175,5710
7726,9618
6492,5526
8114,10069
622,679
5411,10572
8142,7166
7887,10484
3098,5904
4245,5304
3588,5205
5081,6886
5529,7326
5691,9093
5607,5655
3186,2632
5886,1031
6460,6902
4474,800
4445,7643
8251,9548
5721,8135
7019,6465
3734,1469
8744,10575
3483,463
2870,996
9166,7056
629,423
6295,5497
6360,5778
6175,7964
6935,5918
5626,4581
6500,7696
7793,6354
660,196
5434,6995
6102,7119
7469,14169
7493,4748
4828,8469
5346,4002
5995,4871
10351,16362
7771,12451
9116,4400
4545,6800
5475,4282
6542,9365
6066,5900
6791,8984
5706,0
2736,124
7508,8970
6142,6385
16383,13516
863,79
7500,7660
7810,2315
3662,6700
6109,5187
3445,4598
6229,8179
6168,8630
8352,6503
719,1634
8373,7392
4708,2951
5695,8044
5235,6181
6247,7324
7254,5730
7421,5394
6818,5925
7058,12171
6649,4601
5885,5700
7500,10734
743,2014
7960,11086
5957,4385
8204,10761
5955,4190
1263,605
6429,7228
7243,8562
6827,5633
2155,46
4583,6306
7527,7609
